year,track_name,artist_name,artist_id
2022,Todo mundo explica,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,É Fim De Mês,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Al Capone,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Ive Brussel - Ao vivo,Jorge Ben Jor,5JYtpnUKxAzXfHEYpOeeit
2022,Hope,Descendents,1FGH4Bh7g9W6V4fUcKZWp5
2022,"Tenha Fé, Pois Amanhã um Lindo Dia Vai Nascer",Os Originais Do Samba,4gKqxjR0MkEKjqvO3Ctvpg
2022,Movido à álcool,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Congênito,Luiz Melodia,1zZjt7cDeeJSLWZYK34r7W
2022,Tenha Dó,Los Hermanos,7Brxri4l1ATShikyHXsEr6
2022,Pedras Pesadas,Mato Seco,2b3gMC15SnC8mwjnYiUXvx
2022,Sociedade Alternativa,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Back In Bahia,Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr
2022,FOIMAL,Boogarins,0ohvsn0lgt51qZUbu9ct4s
2022,De Noite Na Cama,Erasmo Carlos,6cHQUDAPGKRE2NbVjBlOcz
2022,Paranóia,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Vacilão,Zeca Pagodinho,3qZ2n5keOAat1SoF6bHwmb
2022,SICKO MODE,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
2022,TACA FOGO,Planet Hemp,3nasa4yabzvUeb6DzejDYU
2022,Eu Também Vou Reclamar,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,You Don't Know Me,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ
2022,Deixa o Verão,Los Hermanos,7Brxri4l1ATShikyHXsEr6
2022,FEBRE DO RATO},Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL
2022,Capim Guiné,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Compacto,Curumin,1W1k6LUPDR0l4zwvKR4YLI
2022,Sem Saber,Djavan,5rrmaoBXZ7Jcs4Qb77j0YA
2022,Ébano,Luiz Melodia,1zZjt7cDeeJSLWZYK34r7W
